flyer_id,track,symposium,organizer,role_note,affiliation,source_url
016,Biomaterials,Biological Materials Science,Debora Lyn Porter,,University of California Merced,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-016.pdf
016,Biomaterials,Biological Materials Science,Ning Zhang,,Baylor University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-016.pdf
016,Biomaterials,Biological Materials Science,Ling Li,,University of Pennsylvania,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-016.pdf
016,Biomaterials,Biological Materials Science,Yuxiao Zhou,,Texas A&M University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-016.pdf
016,Biomaterials,Biological Materials Science,Grace Gu,,University of California Berkeley,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-016.pdf
016,Biomaterials,Biological Materials Science,Xiaoguang Dong,,Vanderbilt University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-016.pdf
017,Biomaterials,Biomedical Materials and Devices: From Laboratory to Market,Amit Bandyopadhyay,,Washington State University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-017.pdf
017,Biomaterials,Biomedical Materials and Devices: From Laboratory to Market,Anil Sachdev,,University of North Texas,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-017.pdf
017,Biomaterials,Biomedical Materials and Devices: From Laboratory to Market,Trey Rodgers,,ZimmerBiomet,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-017.pdf
017,Biomaterials,Biomedical Materials and Devices: From Laboratory to Market,Susmita Bose,,Washington State University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-017.pdf
018,Biomaterials,Biosustainable Materials for a Circular Economy,Hannes Schniepp,,William & Mary,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-018.pdf
018,Biomaterials,Biosustainable Materials for a Circular Economy,Jeffrey Bates,,University of Utah,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-018.pdf
018,Biomaterials,Biosustainable Materials for a Circular Economy,Anamika Prasad,,Florida International University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-018.pdf
