family,target,predictor,rel_span,n,rho,p,r,q
design,e_rebound,tierC_t180,0.36694983440481327,35,-0.32885154061624655,0.054447277636118195,-0.3318902588249173,0.16376958929831287
design,e_rebound,tierB_peak_tendon_strain,2.1869904393789823,35,0.32885154061624655,0.05489725513724314,0.2295900818637014,0.16376958929831287
design,e_rebound,tierB_stroke_mm,2.181037770690827,35,0.315406162464986,0.06529673516324183,0.537299873805891,0.16376958929831287
design,e_rebound,tierC_out_180_g,0.36359001089850124,35,-0.31624649859943976,0.06604669766511674,-0.32698444199374865,0.16376958929831287
design,e_rebound,tierB_zeta_flex_pct,3.8736137458898576,35,-0.3078431372549019,0.0712464376781161,-0.24620628147606743,0.16376958929831287
design,e_rebound,tierC_tpu_fraction,1.7871536923631886,35,-0.3061624649859944,0.0735963201839908,-0.3713702600490638,0.16376958929831287
design,e_rebound,tierB_peak_tendon_energy_mJ,2.179788056878941,35,0.3078431372549019,0.07369631518424079,0.2948872053977919,0.16376958929831287
design,e_rebound,nom_cable_d_mm,0.5627139920924215,35,-0.26175040949419964,0.1319434028298585,-0.4376506363420924,0.2777755849049653
design,e_rebound,tierB_fn_hz,2.672087311479835,35,-0.22717086834733893,0.18604069796510175,-0.25770527693684236,0.3720813959302035
design,e_rebound,crutch_SEA_J_per_g,4.592432440705038,35,0.21288515406162464,0.22043897805109744,0.28474018962502795,0.40709964501774903
design,e_rebound,crutch_F_peak_N,0.02483935361332272,35,-0.2081232492997199,0.23513824308784562,-0.23567826110093462,0.40709964501774903
design,e_rebound,lander_F_peak_N,0.012950857631322296,35,-0.20560224089635856,0.23938803059847008,-0.25573407057015074,0.40709964501774903
design,e_rebound,lander_SEA_J_per_g,3.1227598374108223,35,0.19971988795518206,0.2471876406179691,0.33605129571778214,0.40709964501774903
design,e_rebound,tierC_pulse_ms,0.0049205679741317655,35,-0.20211302086361085,0.2544372781360932,-0.22780160337723665,0.40709964501774903
design,e_rebound,geom_footprint_mm2,1.397060761291732,35,0.17030812324929973,0.32353382330883457,0.2132221189285077,0.49774434355205316
design,e_rebound,tierB_zeta_pct,2.933460624354281,35,0.14761904761904762,0.3992800359982001,0.06695534069046982,0.5769711514424279
design,e_rebound,tierB_e_rebound,0.011708991352704014,35,0.1434173669467787,0.4038798060096995,0.23513954793126216,0.5769711514424279
design,e_rebound,nom_H_mm,0.6321630850714506,35,0.13445241810394304,0.44002799860006997,-0.03500774155796129,0.6069351704828552
design,e_rebound,nom_strut_d_mm,0.6475479671156641,35,0.1290436135401779,0.4577771111444428,0.13156569605040644,0.6103694815259237
