specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,feasible,issues,crutch_F_peak_N,crutch_SEA_J_per_g,crutch_eta,lander_F_peak_N,lander_SEA_J_per_g,lander_eta
81,26.82079895399511,78.50132239051163,57.92887523770332,10.934463366866112,3.719078758265823,1,,737.9950201240229,0.0007582815923685757,0.9518219879995521,4693.820791677376,0.0015546112432438637,0.7326443149972526
82,32.4241102905944,94.55315353348851,79.03076190501451,8.865927770733833,3.1124824467115104,1,,737.6295554265112,0.0004385959061549363,0.9644134545072748,4732.795425874287,0.0008822585049724177,0.732498826984424
83,35.28451233636588,64.39037159085274,40.91733869165182,9.605829890817404,4.424240057822317,1,,736.9946521163344,0.0011377646123341902,0.9676348334259195,4745.459952449084,0.006401708934760181,0.7332601052573403
84,33.2559105521068,90.41222840547562,53.48034169524908,9.938729010522366,4.770724426023662,1,,738.4779225819854,0.00046196910250646085,0.9546823834812078,4710.1553325289315,0.0013167447684151988,0.7324891128951625
85,30.49849382136017,71.9437356479466,66.61424327641726,7.7713370360434055,3.459033795632422,1,,736.8520874941833,0.0005069987399879296,0.9786473349097116,4757.394991546295,0.0022077068553522892,0.7328669647177688
86,28.54128018952906,101.30052146501839,45.1797054708004,11.328856978565454,4.065972535870969,1,,738.5087836110038,0.0006317633310047399,0.9350065725598121,4655.323458607401,0.0008693868788331669,0.7327528414552595
87,38.90176795423031,83.02734046243131,74.56335626542568,6.017899207770824,5.416568589396775,1,,736.6682964605263,0.00028694599153405114,0.9842632858712924,4784.327464117763,0.0015398392538955154,0.7324527517098637
88,39.37660107854754,94.2334917280823,47.96901065856218,7.9989678002893925,3.8204074623063207,1,,737.3496525665918,0.0003864541359252827,0.9715242432390033,4754.159774970856,0.0013173561712229343,0.7324610480523485
89,27.134439810179174,61.920734671875834,72.3551058396697,10.28511243313551,5.014820068143308,1,,737.7181382117594,0.0007557514857942163,0.9629932245436085,4723.367383712959,0.004122432421814898,0.7337750207564755
90,29.089400805532932,105.21943423897028,50.6837122887373,6.705525241792202,4.371758528985083,1,,737.2854605270636,0.00010342105130335212,0.9777222847126401,4772.3064331046435,0.00040840219435974736,0.7325450161479151
91,33.729335041716695,72.71136542782187,68.82005229592323,11.941853407770395,3.216250787489116,1,,737.5478901370154,0.0011063454621385513,0.9468222572921258,4680.162699056637,0.0038188198510873995,0.7338061834537748
92,35.75748565606773,100.01039480790496,76.86157390475273,10.788646414875984,3.4944230965338647,1,,738.0026647579623,0.0006421243132238715,0.942947656262827,4681.543051580217,0.0010075128515287838,0.7325001208996333
93,31.015467550605536,80.75911331921816,43.7457063049078,7.120432432740927,4.649863857310265,1,,737.0249478153476,0.0002675406477587957,0.9795755938358559,4765.662108253143,0.0013649163944281161,0.7326727443997855
94,25.413508522324264,85.8017938118428,64.45944871753454,9.164148833602667,5.293269613292068,1,,738.4339875385493,0.0002280722650520136,0.9623300677564964,4728.2835554966705,0.0009189030308239893,0.7324998531297964
95,37.55358569789678,66.74582556821406,55.093183405697346,8.35822843015194,4.098923392128199,1,,736.715350307566,0.0009729936196506367,0.9752942974974368,4762.232744199095,0.005725576609124012,0.7330669320445513
96,37.22711505368352,98.81610613316298,41.512003019452095,6.147203855216503,4.833768784999847,1,,736.8645652404183,0.00016153832824931968,0.9821648619403035,4781.642218295334,0.0007645325149369925,0.7326735987138255
97,25.094472905620933,78.7851126305759,78.39825540781021,11.387059483677149,3.3279149252921343,1,,737.4785428500785,0.0008178945707283681,0.9489681798149702,4684.917342708402,0.0013561456285107044,0.7326493880187247
98,30.638645109720528,87.83015393652022,59.812681414186954,7.806874517351389,3.9736074320971966,1,,737.3368191678311,0.00027689520568301693,0.9741713643744614,4754.050669794691,0.0010304280091726929,0.7326884196760114
