tier,regime,seed,trial,stage,feasible,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
C,crutch,2,8,bo,True,32.01979999896139,65.6657500565052,46.488230377435684,11.584177449345589,3.098055985290557,737.208103927485,0.0012229746254025565,0.9546127751288178
C,crutch,2,9,bo,True,27.736934013664722,99.38023108057678,75.54559614509344,8.661257341504097,4.215163234155625,737.9042957465036,0.00028103387241791247,0.9637186648847702
C,crutch,2,10,bo,True,38.407491527962144,60.0,57.72481358452082,12.0,3.0,711.4450923458676,0.0020309440053141487,0.986861021674917
C,crutch,2,11,bo,True,40.0,60.0,58.84451158341297,12.0,3.0,708.0869602678595,0.00207398628461902,0.9925889960481937
C,crutch,2,12,bo,True,40.0,60.0,80.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,2,13,bo,True,40.0,60.0,40.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,2,14,bo,True,40.0,60.0,44.73187427550234,9.583398057035012,3.0,729.1464209991992,0.001890606779628308,0.9797787201595346
C,crutch,2,15,bo,True,40.0,92.66070496024555,64.53520158771751,12.0,3.0,738.0018552430869,0.0007684344173819963,0.933648798010098
C,crutch,2,16,bo,True,40.0,60.0,40.0,12.0,5.5,736.940140183597,0.0025609826071073235,0.9439703076118791
C,crutch,2,17,bo,True,40.0,60.0,40.0,12.0,4.1358602431068405,708.086119646817,0.0026818797340413154,0.9855563897142978
C,crutch,2,18,bo,True,40.0,60.0,51.98302507277071,12.0,3.5812472868566307,708.0865761742353,0.0024513611465869735,0.9890361971868386
C,crutch,2,19,bo,True,40.0,60.0,40.0,12.0,4.63943779454574,732.7382027707317,0.002657364886993315,0.9514463340528411
C,crutch,2,20,bo,True,40.0,60.0,80.0,12.0,3.920422449208645,708.0863025608908,0.0026233962061003864,0.9868025242338739
C,crutch,2,21,bo,True,40.0,60.0,40.0,12.0,3.899406209632038,708.0863196992135,0.002615701909349721,0.9869354483454948
C,crutch,2,22,bo,True,40.0,60.0,40.0,10.673762642526118,4.01290045568097,736.9290836423294,0.002262099260978916,0.9596811185817838
C,crutch,2,23,bo,True,40.0,68.78404435700381,40.0,12.0,4.023351250061197,737.0552859930493,0.0016910788218654099,0.9459547517207735
C,crutch,2,24,bo,True,40.0,60.0,80.0,12.0,4.598868880234324,731.9552367657373,0.0026617552682778383,0.9525424841909238
C,crutch,2,25,bo,True,40.0,60.0,57.85307139900037,12.0,3.2339329380093997,708.4188516462318,0.0022400946957206705,0.9907362216076354
C,crutch,2,26,bo,True,25.0,60.0,80.0,12.0,5.5,738.5075290950086,0.0008795716362886602,0.9484954152358859
C,crutch,2,27,bo,True,35.88497620178203,60.0,40.0,12.0,4.002981232643827,736.7410297843282,0.0020510597309610465,0.9506899987118197
C,crutch,2,28,bo,True,40.0,60.0,40.0,11.484726844388074,3.0,712.5289249105882,0.002102129555423119,0.990058007362212
C,crutch,2,29,bo,True,40.0,62.54824834719951,80.0,12.0,3.019437966463828,711.0166128302562,0.001936609728903784,0.9861014406425948
C,crutch,2,30,bo,True,40.0,60.0,80.0,12.0,4.321486564866516,721.077115520634,0.002679782183892717,0.9674126639570854
C,crutch,2,31,bo,True,40.0,60.0,40.0,6.0,5.5,736.6731336569768,0.0006175787915868612,0.9860211157495697
C,crutch,2,32,bo,True,36.29871401995173,60.0,80.0,8.226361290523617,3.0,736.4056868997404,0.0013057385782979931,0.9791063681759203
