specimen,drop_index,event_time,t180,e_rebound
drran5,2,2026-09-03T00:08:36,1.0401093074074697,0.016468323408928606
drran5,3,2026-09-03T00:09:17,1.0390892912418057,0.01621724450893185
drran5,4,2026-09-03T00:09:58,1.0393521422923293,0.016930696901154365
drran5,5,2026-09-03T00:10:39,1.0388537267433482,0.016860032742234455
drran5,6,2026-09-03T00:11:20,1.0389285409366045,0.016946319007012125
drran5,7,2026-09-03T00:12:01,1.038805269596913,0.016969979447186128
drran5,8,2026-09-03T00:12:42,1.0375210990690382,0.01607669152722967
drran5,9,2026-09-03T00:13:23,1.0375827755645333,0.015465532822629037
drran5,10,2026-09-03T00:14:05,1.0379485560000539,0.01695446550374125
drran5,11,2026-09-03T00:14:46,1.0362347309748807,0.01560295817103082
drran5,12,2026-09-03T00:15:27,1.036390204717061,0.01608778909648827
drran5,13,2026-09-03T00:16:08,1.0346513761810898,0.016519901039982025
drran5,14,2026-09-03T00:16:49,1.0362940423836196,0.015805118779378593
drran5,15,2026-09-03T00:17:30,1.0344360483318633,0.01685172633230166
drran5,16,2026-09-03T00:18:11,1.0334761312858025,0.016518465627631505
drran5,17,2026-09-03T00:18:56,1.032396950543716,0.017371295776151086
drran6,0,2026-09-03T00:29:32,1.0560779078606581,0.018107346003784587
drran6,1,2026-09-03T00:30:18,1.054254742733585,0.01762971166844659
drran6,2,2026-09-03T00:31:03,1.0477767887398417,0.01631460708476399
drran6,3,2026-09-03T00:31:48,1.0531615019412832,0.017210828646065445
drran6,4,2026-09-03T00:32:34,1.0487692324068962,0.01662924699062703
drran6,5,2026-09-03T00:33:19,1.0509607732620259,0.017326289795271163
drran6,6,2026-09-03T00:34:04,1.045919655073812,0.01616651212418878
drran6,7,2026-09-03T00:34:49,1.0458126826521954,0.01672828764200755
drran6,8,2026-09-03T00:35:35,1.0454542743282431,0.01631876524607271
drran6,9,2026-09-03T00:36:20,1.0442644140476434,0.016536051814079338
drran6,10,2026-09-03T00:37:05,1.0433963849955399,0.016469867354255357
drran6,11,2026-09-03T00:37:50,1.0454772865489939,0.01663632118995115
drran6,12,2026-09-03T00:38:36,1.045155192487844,0.01617023821840023
drran6,13,2026-09-03T00:39:21,1.0437013222558111,0.016317245373188828
drran6,14,2026-09-03T00:40:06,1.0457616766273787,0.016069701289672462
drran6,15,2026-09-03T00:40:51,1.0440562344568198,0.015908854863248154
drran6,16,2026-09-03T00:41:37,1.044141220526273,0.01592727323195373
drran6,17,2026-09-03T00:42:22,1.0433273870983353,0.015882080546151218
drran7,0,2026-09-03T00:47:37,1.2481607206792003,0.028964016633060443
drran7,1,2026-09-03T00:48:22,1.243952770775514,0.02868969245377914
